"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","P/L %","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Opening VIX","Closing VIX","Gap","Movement","Max Profit","Max Loss"
"2026-02-18","13:45:00",6888.76,"1 Feb 18 6880 P STO 5.45 | 1 Feb 18 6900 C STO 3.40 | 1 Feb 18 6870 P BTO 3.25 | 1 Feb 18 6910 C BTO 1.15",435,6881.31,"2026-02-18","16:00:00",0,"Expired",427.88,98.36321839080459,1,635108.2,565,"IC Iron Condor 1:45 entry Vix 14 and SMA",7.12,0,2.011,6.5,19.21,19.53,12.26,33.28,100,-101.15
"2026-02-18","13:15:00",6903.11,"2 Feb 18 6895 P STO 4.35 | 2 Feb 18 6890 P BTO 3.25",100,6881.31,"2026-02-18","16:00:00",500,"Expired",-806.6,-403.3,2,634301.6,800,"h 19:15 & 20:15 Bull Put w5 - Sma5 abv - Move up 0.3%- Lun No",6.6,0,1.338,1.598,18.63,19.53,12.26,47.63,10,-405
"2026-02-18","12:45:00",6898.84,"1 Feb 27 6665 P BTO 18.00 | 1 Feb 27 6985 C BTO 26.50 | 1 Feb 27 6645 P STO 16.05 | 1 Feb 27 7005 C STO 19.15",-930,6832.67,"2026-02-23","15:59:00",-510,"Backtest Completed",-426.8,-45.89247311827957,1,634346.52,930,"Reversal IC 9DTE",6.8,0,0.791,0.769,18.68,21.54,12.26,43.36,22.58,-46.77
"2026-02-18","10:15:00",6896.41,"1 Feb 18 6895 C BTO 15.50 | 1 Feb 18 6965 C BTO 0.20 | 2 Feb 18 6930 C STO 2.10",-1160,6881.56,"2026-02-18","13:53:00",-300,"Stop Loss",-870.24,-75.02068965517242,1,634680.32,1160,"ORB 70/35 3% Monday-Friday No SL",7.12,3.12,0.268,0.088,19.03,19.47,12.26,40.93,28.88,-73.28
"2026-02-18","10:05:00",6894.3,"4 Feb 18 6750 P BTO 0.55",-110,6881.31,"2026-02-18","16:00:00",0,"Expired",-226.8,-103.0909090909091,2,632946.48,220,"h 16:05//Put Lottery ticket- sma200 abv - Vix max 20- VIX max move up 1% - Move up - 1$ - MULTI - V2",6.8,0,0,0,19.01,19.53,12.26,38.82,9.09,-100
"2026-02-18","09:32:00",6858.64,"1 Feb 18 6845 P BTO 18.20 | 1 Feb 18 6875 C BTO 14.50 | 1 Feb 18 6830 P STO 13.60 | 1 Feb 18 6890 C STO 8.60",-1060,6881.31,"2026-02-18","16:00:00",-631,"Expired",-436.12,-41.1433962264151,1,634078.88,1060,"h 15:32Mark RIC d40/40 w15",7.12,0,0.679,0.016,19.99,19.53,12.26,3.16,30.66,-84.91
"2026-02-17","11:00:00",6803.71,"1 Feb 17 6800 P STO 17.00 | 1 Feb 17 6825 C STO 9.30 | 1 Feb 17 6775 P BTO 8.85 | 1 Feb 17 6845 C BTO 3.95",1340,6843.22,"2026-02-17","16:00:00",1822,"Expired",-489.12,-36.50149253731343,1,635550.56,1160,"h 17:00 17:30 IC -LUN-MAR-VEN",7.12,0,2.055,73.4,21.98,20.3,-16.31,-16.15,22.39,-41.04
"2026-02-13","12:00:00",6866.45,"1 Feb 18 6755 P STO 16.10 | 1 Feb 18 6945 C STO 9.90 | 1 Feb 20 6755 P BTO 28.15 | 1 Feb 20 6945 C BTO 22.05",-2423,6881.31,"2026-02-18","16:00:00",-1520,"Expired",-905.6,-37.375154766818,1,633173.28,2423,"Doppio Calendar VIX O/N - VEN -18.00",2.6,0,0.518,0.007,19.5,19.53,1.51,32.18,11.23,-38.09
"2026-02-12","09:32:00",6961.48,"1 Feb 12 6955 P BTO 12.10 | 1 Feb 12 6975 C BTO 8.30 | 1 Feb 12 6940 P STO 7.95 | 1 Feb 12 6990 C STO 3.35",-920,6832.76,"2026-02-12","16:00:00",-1500,"Expired",572.88,62.269565217391296,1,637016.48,920,"h 15:32Mark RIC d40/40 w15",7.12,0,0.554,0.876,17.38,20.76,16.07,3.94,63.04,-17.93
"2026-02-11","12:45:00",6957.91,"1 Feb 20 6770 P BTO 14.75 | 1 Feb 20 7025 C BTO 22.55 | 1 Feb 20 6750 P STO 12.80 | 1 Feb 20 7045 C STO 15.45",-905,6909.51,"2026-02-20","16:00:00",0,"Expired",-911.8,-100.7513812154696,1,632868.24,905,"Reversal IC 9DTE",6.8,0,0.757,1,17.26,19.11,34.67,-18.57,4.42,-100
"2026-02-11","09:32:00",6993.35,"1 Feb 11 6985 P BTO 11.65 | 1 Feb 11 7000 C BTO 9.35 | 1 Feb 11 6970 P STO 7.45 | 1 Feb 11 7015 C STO 3.85",-980,6941.47,"2026-02-11","16:00:00",-1500,"Expired",512.88,52.33469387755102,1,636443.6,980,"h 15:32Mark RIC d40/40 w15",7.12,0,0.538,0.656,16.76,17.52,34.67,16.87,53.06,-8.16
"2026-02-10","13:45:00",6956.84,"1 Feb 10 6950 P STO 4.60 | 1 Feb 10 6965 C STO 3.65 | 1 Feb 10 6940 P BTO 2.55 | 1 Feb 10 6975 C BTO 1.20",440,6941.81,"2026-02-10","16:00:00",819,"Expired",-386.12,-87.75454545454545,1,635738.84,560,"IC Iron Condor 1:45 entry Vix 14 and SMA",7.12,0,2.2,88,17.69,17.82,9.67,-17.65,72.73,-101.14
"2026-02-10","10:21:00",6981.93,"1 Feb 10 6980 C BTO 12.75 | 1 Feb 10 7050 C BTO 0.10 | 2 Feb 10 7015 C STO 1.10",-1075,6965.32,"2026-02-10","11:51:00",-310,"Stop Loss",-775.24,-72.1153488372093,1,636124.96,1075,"ORB 70/35 3% Monday-Friday No SL",7.12,3.12,0.171,0.081,17.26,17.53,9.67,7.44,8.84,-70.23
"2026-02-10","09:32:00",6975.57,"1 Feb 10 6965 P BTO 10.60 | 1 Feb 10 6985 C BTO 8.05 | 1 Feb 10 6950 P STO 6.65 | 1 Feb 10 7000 C STO 3.15",-895,6941.81,"2026-02-10","16:00:00",-1500,"Expired",597.88,66.8022346368715,1,636336.72,895,"h 15:32Mark RIC d40/40 w15",7.12,0,0.525,0.376,17.35,17.82,9.67,1.08,67.6,-58.66
"2026-02-09","14:30:00",6979.25,"1 Feb 11 6905 P STO 8.40 | 1 Feb 11 7015 C STO 8.35 | 1 Feb 13 6905 P BTO 18.60 | 1 Feb 13 7015 C BTO 21.50",-2336,6957.87,"2026-02-11","14:45:00",-1934,"Exited at Specified Time",-406,-17.38013698630137,1,635930.72,2336,"CALENDAR 2/4 21:05 - LUN",4,0,0.418,0.01,16.95,17.21,-15.04,61.99,9.8,-18.66
"2026-02-06","14:15:00",6911.33,"2 Feb 6 6905 P STO 4.05 | 2 Feb 6 6900 P BTO 2.90",105,6932.3,"2026-02-06","16:00:00",0,"Expired",203.4,96.85714285714286,2,635169.64,790,"h 19:15 & 20:15 Bull Put w5 - Sma5 abv - Move up 0.3%- Lun No",6.6,0,1.397,1,18.09,17.87,18.34,94.59,100,-14.29
"2026-02-06","13:15:00",6912.56,"2 Feb 6 6905 P STO 6.05 | 2 Feb 6 6900 P BTO 4.80",115,6932.3,"2026-02-06","16:00:00",0,"Expired",223.4,97.1304347826087,2,637127,770,"h 19:15 & 20:15 Bull Put w5 - Sma5 abv - Move up 0.3%- Lun No",6.6,0,1.26,1,17.88,17.87,18.34,95.82,100,-34.78
"2026-02-06","11:08:00",6894.01,"1 Feb 6 6895 C BTO 13.90 | 1 Feb 6 6965 C BTO 0.15 | 2 Feb 6 6930 C STO 1.85",-1045,6932.3,"2026-02-06","16:00:00",-3270,"Expired",2217.88,212.23732057416268,1,637387.52,1045,"ORB 70/35 3% Monday-Friday No SL",7.12,0,0.263,0.141,18.6,17.87,18.34,77.27,212.92,-20.57
"2026-02-06","10:05:00",6861.66,"4 Feb 6 6690 P BTO 0.55",-110,6932.3,"2026-02-06","16:00:00",0,"Expired",-226.8,-103.0909090909091,2,636900.2,220,"h 16:05//Put Lottery ticket- sma200 abv - Vix max 20- VIX max move up 1% - Move up - 1$ - MULTI - V2",6.8,0,0,0,19.37,17.87,18.34,44.92,9.09,-100
"2026-02-06","09:32:00",6839.2,"1 Feb 6 6820 P BTO 18.35 | 1 Feb 6 6855 C BTO 18.60 | 1 Feb 6 6805 P STO 13.80 | 1 Feb 6 6870 C STO 12.40",-1085,6932.3,"2026-02-06","16:00:00",-1500,"Expired",407.88,37.5926267281106,1,637795.4,1085,"h 15:32Mark RIC d40/40 w15",7.12,0,0.709,0.777,19.96,17.87,18.34,22.46,38.25,-0.92
"2026-02-04","12:45:00",6851.89,"1 Feb 13 6580 P BTO 21.60 | 1 Feb 13 6955 C BTO 35.15 | 1 Feb 13 6560 P STO 19.55 | 1 Feb 13 6975 C STO 27.50",-970,6836.17,"2026-02-13","16:00:00",0,"Expired",-976.8,-100.70103092783505,1,636039.68,970,"Reversal IC 9DTE",6.8,0,0.829,1,20.75,20.61,6.69,-72.61,50,-100
"2026-02-03","09:32:00",6986.25,"1 Feb 3 6980 P BTO 9.70 | 1 Feb 3 6995 C BTO 7.85 | 1 Feb 3 6965 P STO 5.60 | 1 Feb 3 7010 C STO 3.05",-900,6917.81,"2026-02-03","16:00:00",-1500,"Expired",592.88,65.87555555555555,1,634736.84,900,"h 15:32Mark RIC d40/40 w15",7.12,0,0.493,0.759,16.24,18.12,9.01,0.8,66.67,-7.22
"2026-02-02","14:30:00",6990.71,"1 Feb 4 6925 P STO 6.75 | 1 Feb 4 7025 C STO 6.30 | 1 Feb 6 6925 P BTO 16.80 | 1 Feb 6 7025 C BTO 19.70",-2346,6883.83,"2026-02-03","13:31:00",-1904,"Above Delta",-446,-19.01108269394714,1,634143.96,2346,"CALENDAR 2/4 21:05 - LUN",4,0,0.358,0.735,16.12,19.33,-22.39,74.07,6.78,-20.08
"2026-01-30","12:00:00",6929.23,"1 Feb 4 6820 P STO 14.55 | 1 Feb 4 7005 C STO 9.50 | 1 Feb 6 6820 P BTO 25.50 | 1 Feb 6 7005 C BTO 21.40",-2288,6882.72,"2026-02-04","16:00:00",-2520,"Expired",229.4,10.026223776223777,1,634966.24,2288,"Doppio Calendar VIX O/N - VEN -18.00",2.6,0,0.513,0.004,17.62,19.18,-21.74,-18.04,64.55,-18.05
"2026-01-30","11:06:00",6939.67,"1 Jan 30 6935 P STO 13.10 | 1 Jan 30 6960 C STO 6.70 | 1 Jan 30 6910 P BTO 5.95 | 1 Jan 30 6980 C BTO 2.30",1145,6939.03,"2026-01-30","16:00:00",0,"Expired",1137.88,99.37816593886464,1,634589.96,1355,"h 17:00 17:30 IC -LUN-MAR-VEN",7.12,0,2.4,1.5,17.16,17.56,-21.74,-7.6,100,-70.31
"2026-01-28","13:45:00",6973.34,"1 Jan 28 6960 P STO 8.35 | 1 Jan 28 6990 C STO 6.25 | 1 Jan 28 6950 P BTO 5.80 | 1 Jan 28 7000 C BTO 3.65",505,6978.03,"2026-01-28","16:00:00",0,"Expired",497.88,98.590099009901,1,630701.6,495,"IC Iron Condor 1:45 entry Vix 14 and SMA",7.12,0,1.545,1,16.72,16.55,23.4,-28.66,100,-2.97
"2026-01-28","12:45:00",6971.98,"1 Feb 6 6775 P BTO 15.90 | 1 Feb 6 7050 C BTO 24.90 | 1 Feb 6 6755 P STO 13.95 | 1 Feb 6 7070 C STO 18.00",-885,6932.3,"2026-02-06","16:00:00",0,"Expired",-891.8,-100.76836158192091,1,636903.6,885,"Reversal IC 9DTE",6.8,0,0.783,1,17.05,17.87,23.4,-30.02,22.03,-100
"2026-01-28","09:32:00",7001.14,"1 Jan 28 6965 P STO 5.15 | 1 Jan 28 7025 C STO 4.05 | 1 Jan 28 6945 P BTO 2.80 | 1 Jan 28 7045 C BTO 0.95",535,6978.03,"2026-01-28","16:00:00",0,"Expired",527.88,98.66915887850467,1,632353.88,1465,"h 15:32 IC Mark d20 w20 V.2 Sma5 Gap Up",7.12,0,2.453,1,16.37,16.55,23.4,-0.86,100,-30.84
"2026-01-27","13:45:00",6981.05,"1 Jan 27 6975 P STO 2.20 | 1 Jan 27 6985 C STO 2.30 | 1 Jan 27 6965 P BTO 0.95 | 1 Jan 27 6995 C BTO 0.40",305,6978.6,"2026-01-27","16:00:00",0,"Expired",297.88,97.6655737704918,1,629946.84,695,"IC Iron Condor 1:45 entry Vix 14 and SMA",7.12,0,3.333,1,16,16.2,15.73,15.09,100,-26.23
